Product Title,Product ID,Main Category,Subcategory,Colors,Patterns,Season,Brands,Gender,Hue,Saturation,Value
Accessories_Bracelets_Brown,recNJYjgsjbZLdPNO,Accessories,Bracelets,Brown,Dots,"Spring, Summer, Winter, Autumn",Etsy,Women,15.0,74.0,55.0
Accessories_Bags_White,rec40fBvqBWQQxaWu,Accessories,Bags,White,Single-coloured,"Spring, Summer",Accessorize,Women,19.0,45.0,45.0
Accessories_Bags_White,rec8rQXP9cm1aC28B,Accessories,Bags,White,Single-coloured,"Spring, Summer, Winter",Olaf,Any,15.0,11.0,47.0
Accessories_Jewellery_Gold,recuc6O3cyUZIHOFU,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Sweet Palms,Women,19.0,97.0,29.0
Accessories_Jewellery_Gold,rec1pK2IfO9CQrmU9,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Karma Jewelry,Women,20.0,70.0,11.0
Accessories_Socks_White,rectps30GiEbMM97I,Accessories,Socks,White,Single-coloured,"Spring, Summer, Winter, Autumn",Colorful Standard,Women,30.0,4.0,71.0
Accessories_Eyewear_Blue,recjrBeP9sgOnhqTA,Accessories,Eyewear,Blue,Single-coloured,"Spring, Summer, Autumn",Ray-Ban,Women,30.0,4.0,228.0
Accessories_Bags_Green,rectoj8oL7cCb2EIA,Accessories,Bags,Green,Single-coloured,"Spring, Summer",Becksöndergaard,Women,77.0,219.0,21.0
Accessories_Bags_Silver,recOTDk9osjgoDTJh,Accessories,Bags,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",IT Bags,Women,0.0,0.0,35.0
"Accessories_Bags_Black, Silver",recGoBegLnpJG5Uhi,Accessories,Bags,"Black, Silver",Single-coloured,"Spring, Summer, Winter, Autumn",Urban Outfitters,Women,0.0,0.0,7.0
Accessories_Jewellery_Silver,recvMEE4gkaSXqSSw,Accessories,Jewellery,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",Ilji,Women,0.0,0.0,21.0
Accessories_Jewellery_Gold,recpZwK5QpBdNtHeT,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Vedder & Vedder,Women,61.0,81.0,116.0
Accessories_Eyewear_Brown,recaVqBpLcJXO5vtr,Accessories,Eyewear,Brown,Dots,"Spring, Summer, Winter, Autumn",Meller,Women,15.0,57.0,9.0
Accessories_Bags_Blue,recXBhlWTriBwBvTw,Accessories,Bags,Blue,Single-coloured,"Spring, Summer, Winter, Autumn",Prada,Women,106.0,125.0,57.0
Accessories_Socks_White,reckOXfoD6OhP8xmb,Accessories,Socks,White,Single-coloured,"Spring, Winter, Autumn",FALKE,Women,0.0,0.0,87.0
Accessories_Socks_White,reczDxqrVjaBVqpsJ,Accessories,Socks,White,Single-coloured,"Spring, Summer, Winter, Autumn",Hunkemoller,Women,19.0,24.0,117.0
Accessories_Caps_Black,recnudiPOtIUA5DeS,Accessories,Caps,Black,Single-coloured,"Spring, Summer, Winter, Autumn",ASOS,Any,0.0,0.0,13.0
Accessories_Eyewear_Black,recu0ZhgBapeRM7sF,Accessories,Eyewear,Black,Single-coloured,"Spring, Summer, Winter, Autumn",YUANCHENG,Any,0.0,0.0,5.0
Accessories_Bags_Black,recXDQHQMtPPDzlgH,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Sandro,Women,0.0,20.0,13.0
Accessories_Eyewear_Black,recq77d6L25IQxum5,Accessories,Eyewear,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Ray Ban,Women,0.0,23.0,11.0
Accessories_Bags_Black,recyMEzWccLngpXlq,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Arket,Women,0.0,0.0,8.0
"Accessories_Belts_Black, Gold",reckkEHv1BEtDskQQ,Accessories,Belts,"Black, Gold",Single-coloured,"Spring, Summer, Winter, Autumn",Ralph Lauren,Women,18.0,39.0,33.0
Accessories_Jewellery_Gold,recVyxFExRjXrUlYp,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Pilgrim,Women,21.0,94.0,19.0
Accessories_Bags_Brown,recBMuhsIvSNtFSUL,Accessories,Bags,Brown,Single-coloured,"Spring, Summer, Winter, Autumn",FOSSIL,Women,8.0,173.0,34.0
Accessories_Jewellery_Blue,recEqz1sXTOdn1qcg,Accessories,Jewellery,Blue,Single-coloured,"Spring, Summer, Winter, Autumn",Kendra Scott,Women,91.0,90.0,94.0
Accessories_Jewellery_Silver,recwJU0kJx7HdGUMb,Accessories,Jewellery,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",Shein,Women,90.0,48.0,16.0
Accessories_Bags_Beige,rec0OLXqjIn88QT4V,Accessories,Bags,Beige,Single-coloured,"Spring, Summer, Winter, Autumn",Gerard Darel,Women,17.0,63.0,65.0
Accessories_Bags_Black,recffEIn3Qpa9DfFN,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Cowboysbag,Women,120.0,17.0,15.0
"Accessories_Caps_Orange, Black",recivaIVrFvFRga1d,Accessories,Caps,"Orange, Black",Single-coloured,"Spring, Summer, Winter, Autumn",Von Dutch,Any,0.0,59.0,43.0
Accessories_Jewellery_Silver,recgLnSJy9PUYeYcf,Accessories,Jewellery,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",Hey Harper,Any,0.0,0.0,26.0
Accessories_Jewellery_Silver,recwPLQrgGKzbIPDs,Accessories,Jewellery,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",Juulry,Women,0.0,0.0,39.0
"Accessories_Belts_Black, Silver",recAxcFb5gJwwGhxL,Accessories,Belts,"Black, Silver",Single-coloured,"Spring, Summer, Winter, Autumn",Arket,Women,0.0,0.0,10.0
"Accessories_Bags_Black, Gold",recDbI7mgo2C8ovTn,Accessories,Bags,"Black, Gold",Single-coloured,"Spring, Summer, Winter, Autumn",Gusti Leer,Women,15.0,14.0,37.0
Accessories_Jewellery_Gold,recOZSZz0AC0DDhfs,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",QP Jewellers,Women,30.0,23.0,11.0
"Accessories_Jewellery_Purple, Gold",recM5GNcA7NGVfs6F,Accessories,Jewellery,"Purple, Gold",Single-coloured,"Spring, Summer, Winter, Autumn",Suzanne Kalan,Women,0.0,38.0,34.0
Accessories_Jewellery_Gold,rec2sEthefVqm150r,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Arthur's Jewelers,Women,30.0,39.0,13.0
Accessories_Jewellery_Gold,recGaAVAGpqTUP9uR,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Bruna The Label,Women,30.0,26.0,10.0
Accessories_Bags_Black,reciMcnjfYLEJ5dCi,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Brand Spanking Vintage,Women,0.0,0.0,8.0
Accessories_Caps_Black,reciu3wWoeroESrZV,Accessories,Caps,Black,Single-coloured,"Winter, Autumn",Brixton,Women,114.0,64.0,20.0
Accessories_Jewellery_Silver,recm8Xqcr1oeNkRJx,Accessories,Jewellery,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",My Jewellery,Women,20.0,23.0,33.0
Accessories_Hats_Beige,rec9GCvrfsIVIvK6S,Accessories,Hats,Beige,Single-coloured,"Spring, Summer",Anna Field,Women,19.0,70.0,40.0
Accessories_Jewellery_Gold,recLUaeEIp7UjZy5d,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Elli,Women,20.0,53.0,29.0
Accessories_Jewellery_Silver,rectaD4GmPaCW3gL2,Accessories,Jewellery,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",Lavi,Women,0.0,0.0,254.0
Accessories_Bags_Brown,recX3bQmjwQyDO2Pz,Accessories,Bags,Brown,Single-coloured,"Spring, Summer, Winter, Autumn",Tommy Hilfiger,Men,8.0,97.0,21.0
Accessories_Hats_Beige,recVAkywrbzDJdDZj,Accessories,Hats,Beige,Single-coloured,"Spring, Summer, Winter, Autumn",Seafolly,Women,19.0,54.0,38.0
Accessories_Eyewear_Brown,recxidXaEDL7L6YYF,Accessories,Eyewear,Brown,Single-coloured,"Spring, Summer, Winter, Autumn",Persol,Men,0.0,21.0,24.0
Accessories_Jewellery_Gold,recuMi7qEprCXZQIu,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Diamond Point,Women,30.0,2.0,116.0
Accessories_Eyewear_Black,recbc6tTmhzfBrhoq,Accessories,Eyewear,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Tom Ford,Men,0.0,32.0,16.0
Accessories_Bags_Grey,recUGsZXXg5wcg7sx,Accessories,Bags,Grey,Single-coloured,"Spring, Summer, Winter, Autumn",Morishiu,Men,0.0,13.0,58.0
Accessories_Bags_Black,recu053kFhMnO8Pn0,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Stella McCartney,Women,15.0,43.0,12.0
Accessories_Bags_Green,rechjEUwf4lbD7X5j,Accessories,Bags,Green,Single-coloured,"Spring, Summer, Winter, Autumn",Manufactum,Men,25.0,58.0,79.0
Accessories_Socks_Red,receLfpssYI3tozS2,Accessories,Socks,Red,Single-coloured,"Spring, Winter, Autumn",Calzedonia,Men,176.0,124.0,35.0
Accessories_Socks_Green,recWnlm7G7JapYBMn,Accessories,Socks,Green,Single-coloured,"Spring, Winter, Autumn",Reiss,Men,70.0,77.0,10.0
Accessories_Caps_Red,recwPXQoMsWCuk2BU,Accessories,Caps,Red,Single-coloured,"Spring, Summer, Winter, Autumn",CAPS,Men,176.0,133.0,46.0
Accessories_Hats_White,recDL6eNxdjYc291X,Accessories,Hats,White,Single-coloured,"Spring, Summer, Winter, Autumn",CAPS,Men,14.0,60.0,55.0
Accessories_Bags_White,recoOervcCTR8SSnU,Accessories,Bags,White,Single-coloured,"Spring, Summer, Winter, Autumn",Johnny Urban,Men,12.0,44.0,105.0
Accessories_Beanie_Black,rec1JZI34BKMq1Vw3,Accessories,Beanie,Black,Single-coloured,"Winter, Autumn",CAPS,Men,0.0,0.0,8.0
Accessories_Bags_Black,recDGCLoO6sQVerF8,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Bellroy,Men,0.0,0.0,207.0
Accessories_Socks_White,recC4XtrXO0BqzjNV,Accessories,Socks,White,Single-coloured,"Spring, Winter, Autumn",Colorful Standard,Men,0.0,0.0,76.0
Accessories_Jewellery_Silver,recktd5rEgsEj2dzS,Accessories,Jewellery,Silver,Single-coloured,"Spring, Summer, Winter, Autumn",Asteria,Men,0.0,0.0,13.0
Accessories_Eyewear_Black,recaIJLlbxa05JRA0,Accessories,Eyewear,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Chimi,Men,0.0,0.0,1.0
Accessories_Bags_Black,recBaAdXV0YFmRDAU,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Carhartt,Men,0.0,0.0,24.0
Accessories_Caps_Green,recQPfzNyFvsLRocF,Accessories,Caps,Green,Single-coloured,"Spring, Summer, Winter, Autumn",New Era,Men,87.0,96.0,56.0
"Accessories_Socks_White, Red, Blue",recTHgv5Nm3BHgHW7,Accessories,Socks,"White, Red, Blue",Single-coloured,"Winter, Autumn",Nudie Jeans,Men,15.0,27.0,38.0
Accessories_Belts_Black,recd4U7bN0e7eNyzx,Accessories,Belts,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Ralph Lauren,Men,30.0,18.0,14.0
Accessories_Bags_Brown,recNtFSPfuLNx8Edz,Accessories,Bags,Brown,Single-coloured,"Spring, Summer, Winter, Autumn",De Strada,Men,7.0,187.0,56.0
Accessories_Bags_Black,recjdFQDpG9Lt4u4v,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Longchamp,Men,0.0,0.0,10.0
"Accessories_Jewellery_Brown, Gold",reclAJhcH1RzEbW8E,Accessories,Jewellery,"Brown, Gold",Single-coloured,"Spring, Summer, Winter, Autumn",BOSS,Men,,,
Accessories_Jewellery_Gold,recvKYpgCS8UEmudA,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Christian,Men,21.0,42.0,61.0
Accessories_Belts_Brown,recul4HgYABGzWfUn,Accessories,Belts,Brown,Single-coloured,"Spring, Summer, Winter, Autumn",Ralph Lauren,Men,8.0,148.0,19.0
"Accessories_Belts_Blue, Brown, Silver",rec9dxfzaOHMjpPm1,Accessories,Belts,"Blue, Brown, Silver",Single-coloured,"Spring, Summer, Winter, Autumn",John Henric,Men,150.0,28.0,9.0
Accessories_Jewellery_Gold,recoJKAUp2SjL2sJg,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Casio,Women,21.0,87.0,47.0
Accessories_Jewellery_Gold,recwnqzs0PzIOP9nP,Accessories,Jewellery,Gold,Single-coloured,"Spring, Summer, Winter, Autumn",Miansai,Men,,,
Accessories_Bags_Black,recqflF4qmdvGZhSR,Accessories,Bags,Black,Single-coloured,"Spring, Summer, Winter, Autumn",Ismad,Men,0.0,0.0,11.0
"Accessories_Bags_Pink, Beige",recY12Oa1o258zH7w,Accessories,Bags,"Pink, Beige",Geometric,"Spring, Winter, Summer, Autumn",Ecosus,Women,179.0,49.0,110.0
Accessories_Bags_Brown,recbA3jD9d5SBcUa6,Accessories,Bags,Brown,Single-coloured,"Spring, Winter, Summer, Autumn",Isabel Bernard,Women,8.0,170.0,54.0
