Product Title;Product ID;Main Category;Subcategory;Colors;Patterns;Season;Brands;Gender
Accessories_Bracelets_Brown;recNJYjgsjbZLdPNO;Accessories;Bracelets;Brown;Dots;Spring, Summer, Winter, Autumn;Etsy;Women
Accessories_Bags_White;rec40fBvqBWQQxaWu;Accessories;Bags;White;Single-coloured;Spring, Summer;Accessorize;Women
Accessories_Bags_White;rec8rQXP9cm1aC28B;Accessories;Bags;White;Single-coloured;Spring, Summer, Winter;Olaf;Any
Accessories_Jewellery_Gold;recuc6O3cyUZIHOFU;Accessories;Jewellery;Gold;Single-coloured;Spring, Summer, Winter, Autumn;Sweet Palms;Women
Accessories_Jewellery_Gold;rec1pK2IfO9CQrmU9;Accessories;Jewellery;Gold;Single-coloured;Spring, Summer, Winter, Autumn;Karma Jewelry;Women
Accessories_Socks_White;rectps30GiEbMM97I;Accessories;Socks;White;Single-coloured;Spring, Summer, Winter, Autumn;Colorful Standard;Women
Accessories_Eyewear_Blue;recjrBeP9sgOnhqTA;Accessories;Eyewear;Blue;Single-coloured;Spring, Summer, Autumn;Ray-Ban;Women
Accessories_Bags_Green;rectoj8oL7cCb2EIA;Accessories;Bags;Green;Single-coloured;Spring, Summer;Becksöndergaard;Women
Accessories_Bags_Silver;recOTDk9osjgoDTJh;Accessories;Bags;Silver;Single-coloured;Spring, Summer, Winter, Autumn;IT Bags;Women
Accessories_Bags_Black, Silver;recGoBegLnpJG5Uhi;Accessories;Bags;Black, Silver;Single-coloured;Spring, Summer, Winter, Autumn;Urban Outfitters;Women
Accessories_Jewellery_Silver;recvMEE4gkaSXqSSw;Accessories;Jewellery;Silver;Single-coloured;Spring, Summer, Winter, Autumn;Ilji;Women
Accessories_Jewellery_Gold;recpZwK5QpBdNtHeT;Accessories;Jewellery;Gold;Single-coloured;Spring, Summer, Winter, Autumn;Vedder & Vedder;Women
Accessories_Eyewear_Brown;recaVqBpLcJXO5vtr;Accessories;Eyewear;Brown;Dots;Spring, Summer, Winter, Autumn;Meller;Women
Accessories_Bags_Blue;recXBhlWTriBwBvTw;Accessories;Bags;Blue;Single-coloured;Spring, Summer, Winter, Autumn;Prada;Women
Accessories_Socks_White;reckOXfoD6OhP8xmb;Accessories;Socks;White;Single-coloured;Spring, Winter, Autumn;FALKE;Women
Accessories_Socks_White;reczDxqrVjaBVqpsJ;Accessories;Socks;White;Single-coloured;Spring, Summer, Winter, Autumn;Hunkemoller;Women
Accessories_Caps_Black;recnudiPOtIUA5DeS;Accessories;Caps;Black;Single-coloured;Spring, Summer, Winter, Autumn;ASOS;Any
Accessories_Eyewear_Black;recu0ZhgBapeRM7sF;Accessories;Eyewear;Black;Single-coloured;Spring, Summer, Winter, Autumn;YUANCHENG;Any
Accessories_Bags_Black;recXDQHQMtPPDzlgH;Accessories;Bags;Black;Single-coloured;Spring, Summer, Winter, Autumn;Sandro;Women
Accessories_Eyewear_Black;recq77d6L25IQxum5;Accessories;Eyewear;Black;Single-coloured;Spring, Summer, Winter, Autumn;Ray Ban;Women
Accessories_Bags_Black;recyMEzWccLngpXlq;Accessories;Bags;Black;Single-coloured;Spring, Summer, Winter, Autumn;Arket;Women
Accessories_Belts_Black, Gold;reckkEHv1BEtDskQQ;Accessories;Belts;Black, Gold;Single-coloured;Spring, Summer, Winter, Autumn;Ralph Lauren;Women
Accessories_Jewellery_Gold;recVyxFExRjXrUlYp;Accessories;Jewellery;Gold;Single-coloured;Spring, Summer, Winter, Autumn;Pilgrim;Women
Accessories_Bags_Brown;recBMuhsIvSNtFSUL;Accessories;Bags;Brown;Single-coloured;Spring, Summer, Winter, Autumn;FOSSIL;Women
Accessories_Jewellery_Blue;recEqz1sXTOdn1qcg;Accessories;Jewellery;Blue;Single-coloured;Spring, Summer, Winter, Autumn;Kendra Scott;Women
Accessories_Jewellery_Silver;recwJU0kJx7HdGUMb;Accessories;Jewellery;Silver;Single-coloured;Spring, Summer, Winter, Autumn;Shein;Women
Accessories_Bags_Beige;rec0OLXqjIn88QT4V;Accessories;Bags;Beige;Single-coloured;Spring, Summer, Winter, Autumn;Gerard Darel;Women
Accessories_Bags_Black;recffEIn3Qpa9DfFN;Accessories;Bags;Black;Single-coloured;Spring, Summer, Winter, Autumn;Cowboysbag;Women
Accessories_Caps_Orange, Black;recivaIVrFvFRga1d;Accessories;Caps;Orange, Black;Single-coloured;Spring, Summer, Winter, Autumn;Von Dutch;Any
Accessories_Jewellery_Silver;recgLnSJy9PUYeYcf;Accessories;Jewellery;Silver;Single-coloured;Spring, Summer, Winter, Autumn;Hey Harper;Any
Accessories_Jewellery_Silver;recwPLQrgGKzbIPDs;Accessories;Jewellery;Silver;Single-coloured;Spring, Summer, Winter, Autumn;Juulry;Women
Accessories_Belts_Black, Silver;recAxcFb5gJwwGhxL;Accessories;Belts;Black, Silver;Single-coloured;Spring, Summer, Winter, Autumn;Arket;Women
Accessories_Bags_Black, Gold;recDbI7mgo2C8ovTn;Accessories;Bags;Black, Gold;Single-coloured;Spring, Summer, Winter, Autumn;Gusti Leer;Women
Accessories_Jewellery_Gold;recOZSZz0AC0DDhfs;Accessories;Jewellery;Gold;Single-coloured;Spring, Summer, Winter, Autumn;QP Jewellers;Women
Accessories_Jewellery_Purple, Gold;recM5GNcA7NGVfs6F;Accessories;Jewellery;Purple, Gold;Single-coloured;Spring, Summer, Winter, Autumn;Suzanne Kalan;Women
Accessories_Jewellery_Gold;rec2sEthefVqm150r;Accessories;Jewellery;Gold;Single-coloured;Spring, Summer, Winter, Autumn;Arthur's Jewelers;Women
Accessories_Jewellery_Gold;recGaAVAGpqTUP9uR;Accessories;Jewellery;Gold;Single-coloured;Spring, Summer, Winter, Autumn;Bruna The Label;Women
Accessories_Bags_Black;reciMcnjfYLEJ5dCi;Accessories;Bags;Black;Single-coloured;Spring, Summer, Winter, Autumn;Brand Spanking Vintage;Women
Accessories_Caps_Black;reciu3wWoeroESrZV;Accessories;Caps;Black;Single-coloured;Winter, Autumn;Brixton;Women
